id,type,src,dst,app,latency,message,ctime,size,buffer
19,LINK,184,42,7,20.00000057953834,7_(103-110),456.11463898455247,4304998,19
13,LINK,6,2,0,3.000000035365587,0_(4-10),456.15059549534953,1984016,19
2,LINK,2,0,3,3.0000000614995046,3_(52-53),456.5504600550758,3541275,19
4,LINK,196,198,8,25.000000778352874,8_(115-116),456.74570831226856,3863753,19
25,LINK,85,15,18,10.000000445512145,18_(218-225),457.0346465483997,2080891,19
13,LINK,2,47,0,8.00000007000497,0_(4-10),459.1505955307151,1984016,19
2,LINK,0,20,3,8.000000580007843,3_(52-53),459.5504601165753,3541275,19
4,LINK,109,0,8,10.000000651254032,8_(115-123),459.74570811514184,2839816,19
25,LINK,177,85,18,9.000000168513605,18_(218-226),460.0346467618588,3211703,19
1,LINK,110,112,10,6.000000079964751,10_(143-144),460.6297616969114,1647257,19
13,LINK,111,179,0,15.000000495618071,0_(0-11),462.62976264627093,3653574,18
28,LINK,195,175,9,16.00000024962666,9_(128-129),464.64028776978415,3535380,18
28,LINK,195,175,9,16.00000025997817,9_(128-130),464.64028776978415,3681985,19
28,LINK,195,175,9,16.000000208772004,9_(128-132),464.64028776978415,2956769,20
28,LINK,195,175,9,16.000000271102696,9_(128-133),464.64028776978415,3839538,21
28,LINK,195,175,9,16.00000015838772,9_(128-134),464.64028776978415,2243193,22
28,LINK,195,175,9,16.00000022408656,9_(128-139),464.64028776978415,3173664,23
28,LINK,195,175,9,16.000000286203942,9_(128-141),464.64028776978415,4053412,24
25,LINK,7,42,18,10.000000167649954,18_(218-223),465.0346476255867,4049414,24
12,LINK,106,15,12,6.000000073000507,12_(149-160),465.26978528745406,1715101,24
5,LINK,195,175,8,16.000000280710417,8_(114-115),465.834533475597,3975609,25
5,LINK,195,175,8,16.000000132262983,8_(114-117),465.834533475597,1873197,26
5,LINK,195,175,8,16.000000151752175,8_(114-124),465.834533475597,2149216,27
5,LINK,195,175,8,16.000000291583365,8_(114-125),465.834533475597,4129599,28
1,LINK,112,131,10,15.00000038141544,10_(143-144),466.62976177687614,1647257,28
25,LINK,15,27,18,10.000000164352722,18_(218-225),467.03464699391185,2080891,28
19,LINK,3,1,7,4.000000068680034,7_(111-112),468.30535981823715,2794495,27
25,LINK,85,15,18,10.000000687615398,18_(218-226),469.03464693037245,3211703,27
12,LINK,175,106,12,12.000000541867497,12_(149-161),469.26978539423055,4462048,27
4,LINK,0,4,8,5.000000108346767,8_(115-123),469.74570876639586,2839816,27
13,LINK,192,77,0,9.000000177896382,0_(1-2),470.3275726416096,2618533,27
13,LINK,192,45,0,15.000001111961387,0_(1-8),470.3275726416096,3076448,28
13,LINK,192,169,0,12.000000185230542,0_(1-18),470.3275726416096,1651083,29
12,LINK,15,6,12,6.000000090287914,12_(149-160),471.26978536045453,1715101,29
14,LINK,0,2,5,3.000000033736588,5_(76-78),471.60882624906594,1942626,30
14,LINK,0,15,5,10.0000000716874,5_(76-79),471.60882624906594,2022388,31
25,LINK,177,85,18,9.000000184629497,18_(218-231),472.03464711535537,3518856,30
19,LINK,1,111,7,8.00000015728044,7_(111-112),472.3053598869172,2794495,30
13,LINK,196,198,0,25.00000080557964,0_(0-7),472.74570898337385,3998907,30
14,LINK,2,1,5,4.000000047030002,5_(76-78),474.6088262828025,1942626,30
4,LINK,4,16,8,10.000000118112494,8_(115-123),474.7457088747426,2839816,30
19,LINK,42,7,7,10.0000001782314,7_(103-110),476.1146395640908,4304998,29
12,LINK,6,73,12,8.000000091122711,12_(149-160),477.26978545074246,1715101,28
25,LINK,15,101,18,10.000000364243517,18_(218-226),479.03464761798784,3211703,26
13,LINK,77,15,0,6.0000001476101135,0_(1-2),479.327572819506,2618533,26
19,LINK,152,111,7,9.000000217964155,7_(105-108),479.3669838728937,3726502,27
19,LINK,111,174,7,12.000000401729084,7_(111-112),480.30536004419764,2794495,27
25,LINK,85,6,18,10.000000672831579,18_(218-231),481.03464729998484,3518856,27
12,LINK,106,15,12,6.0000001899198745,12_(149-161),481.26978593609806,4462048,27
14,LINK,15,78,5,9.00000013375176,5_(76-79),481.60882632075334,2022388,27
20,LINK,187,94,11,12.000000353157903,11_(145-146),482.2049689440994,2952672,26
13,LINK,169,112,0,12.000000139721799,0_(1-18),482.32757282684014,1651083,26
17,LINK,177,85,16,9.000000156340835,16_(207-208),484.0346474146897,2979702,26
12,LINK,175,106,12,12.000000377597797,12_(149-163),485.26978561377655,3109357,24
13,LINK,15,108,0,8.000000111179427,0_(1-2),485.3275729671161,2618533,24
13,LINK,45,6,0,8.000000394823585,0_(1-8),485.327573753571,3076448,24
19,LINK,7,19,7,8.00000120600442,7_(103-110),486.1146397423222,4304998,24
16,LINK,158,59,16,12.00000016841206,16_(209-210),487.11224305986366,2839108,25
12,LINK,15,7,12,10.000000348174332,12_(149-161),487.26978612601795,4462048,25
19,LINK,111,5,7,8.000000797963432,7_(105-108),488.36698409085784,3726502,25
25,LINK,101,114,18,9.000000358782271,18_(218-226),489.0346479822314,3211703,25
25,LINK,6,1,18,4.00000011823946,18_(218-231),491.0346479728164,3518856,24
17,LINK,85,15,16,10.000000637944721,16_(207-208),493.0346475710305,2979702,23
13,LINK,6,110,0,6.000000446028999,0_(1-8),493.3275741483946,3076448,22
20,LINK,94,3,11,8.000000135709467,11_(145-146),494.2049692972573,2952672,21
13,LINK,112,80,0,6.000000061471143,0_(1-18),494.32757296656195,1651083,21
25,LINK,1,102,18,8.00000017988349,18_(218-231),495.0346480910559,3518856,21
19,LINK,5,55,7,8.000000243338796,7_(105-108),496.36698488882126,3726502,21
12,LINK,106,15,12,6.0000001323447645,12_(149-163),497.26978599137436,3109357,21
